00-01-scope-and-constraints	DONE	5	MEDIUM	task	Phase 00 — Scope and constraints	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-01-scope-and-constraints.md	design,devops,frontend,planning,usability		board/tasks/00-01-scope-and-constraints.md
00-02-board-data-audit	DONE	5	MEDIUM	task	Phase 00 — Board data audit	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-02-board-data-audit.md	design,frontend,planning,usability		board/tasks/00-02-board-data-audit.md
00-03-cli-surface-and-aliases	DONE	5	MEDIUM	task	Phase 00 — CLI surface and aliases	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-03-cli-surface-and-aliases.md	design,documentation,frontend,planning,usability		board/tasks/00-03-cli-surface-and-aliases.md
00-04-kanban-ux-requirements	DONE	5	MEDIUM	task	Phase 00 — Kanban UX requirements	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-04-kanban-ux-requirements.md	design,devops,frontend,planning,usability		board/tasks/00-04-kanban-ux-requirements.md
00-05-module-layout-and-responsibilities	DONE	5	MEDIUM	task	Phase 00 — Module layout and responsibilities	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-05-module-layout-and-responsibilities.md	design,documentation,frontend,planning,usability		board/tasks/00-05-module-layout-and-responsibilities.md
00-06-acceptance-criteria	DONE	5	MEDIUM	task	Phase 00 — Acceptance criteria	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-06-acceptance-criteria.md	design,documentation,frontend,planning,testing,usability		board/tasks/00-06-acceptance-criteria.md
01-01-source-of-truth	DONE	5	MEDIUM	task	Phase 01 — Choose source of truth	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-01-source-of-truth.md	planning		board/tasks/01-01-source-of-truth.md
01-02-normalized-task-schema	DONE	5	MEDIUM	task	Phase 01 — Normalized task schema	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-02-normalized-task-schema.md	planning		board/tasks/01-02-normalized-task-schema.md
01-03-normalization-rules	DONE	5	MEDIUM	task	Phase 01 — Normalization rules	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-03-normalization-rules.md	design,frontend,planning,usability		board/tasks/01-03-normalization-rules.md
01-04-json-and-markdown-parsing-strategy	DONE	5	MEDIUM	task	Phase 01 — Parsing strategy (no `jq`)	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-04-json-and-markdown-parsing-strategy.md	planning		board/tasks/01-04-json-and-markdown-parsing-strategy.md
01-05-validation-command	DONE	5	MEDIUM	task	Phase 01 — `bilu board --validate`	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-05-validation-command.md	documentation,planning,testing		board/tasks/01-05-validation-command.md
01-06-index-derivation-and-migration	DONE	5	MEDIUM	task	Phase 01 — Index derivation and migration	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-06-index-derivation-and-migration.md	planning		board/tasks/01-06-index-derivation-and-migration.md
02-01-board-command-entrypoint	DONE	5	MEDIUM	task	Phase 02 — Board command entrypoint	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-01-board-command-entrypoint.md	documentation,planning		board/tasks/02-01-board-command-entrypoint.md
02-02-module-skeleton	DONE	5	MEDIUM	task	Phase 02 — Module skeleton	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-02-module-skeleton.md	design,frontend,planning,usability		board/tasks/02-02-module-skeleton.md
02-03-layout-detection	DONE	5	MEDIUM	task	Phase 02 — Layout detection	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-03-layout-detection.md	planning		board/tasks/02-03-layout-detection.md
02-04-args-parser	DONE	5	MEDIUM	task	Phase 02 — Args parser	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-04-args-parser.md	devops,documentation,planning		board/tasks/02-04-args-parser.md
02-05-help-and-usage-text	DONE	5	MEDIUM	task	Phase 02 — Help and usage text	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-05-help-and-usage-text.md	documentation,planning		board/tasks/02-05-help-and-usage-text.md
02-06-internal-record-format	DONE	5	MEDIUM	task	Phase 02 — Internal record format (TSV)	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-06-internal-record-format.md	design,frontend,planning,usability		board/tasks/02-06-internal-record-format.md
02-07-integration-tests-for-parsing	DONE	5	MEDIUM	task	Phase 02 — Integration tests for parsing	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-07-integration-tests-for-parsing.md	documentation,planning,testing		board/tasks/02-07-integration-tests-for-parsing.md
03-01-table-view-spec	DONE	5	MEDIUM	task	Phase 03 — Table view spec	/Users/rtfa/lab/bilu/.bilu/board/tasks/03-01-table-view-spec.md	design,frontend,planning,usability		board/tasks/03-01-table-view-spec.md
03-02-color-theme-and-no-color	DONE	5	MEDIUM	task	Phase 03 — Color theme and `NO_COLOR`	/Users/rtfa/lab/bilu/.bilu/board/tasks/03-02-color-theme-and-no-color.md	design,frontend,planning,usability		board/tasks/03-02-color-theme-and-no-color.md
03-03-kanban-layout-algorithm	DONE	5	MEDIUM	task	Phase 03 — Kanban layout algorithm (non-interactive)	/Users/rtfa/lab/bilu/.bilu/board/tasks/03-03-kanban-layout-algorithm.md	design,frontend,planning,usability		board/tasks/03-03-kanban-layout-algorithm.md
03-04-kanban-narrow-fallback	DONE	5	MEDIUM	task	Phase 03 — Narrow-terminal fallback	/Users/rtfa/lab/bilu/.bilu/board/tasks/03-04-kanban-narrow-fallback.md	design,frontend,planning,usability		board/tasks/03-04-kanban-narrow-fallback.md
03-05-column-mapping-config	DONE	5	MEDIUM	task	Phase 03 — Column mapping and configuration	/Users/rtfa/lab/bilu/.bilu/board/tasks/03-05-column-mapping-config.md	planning		board/tasks/03-05-column-mapping-config.md
03-06-renderer-performance	DONE	5	MEDIUM	task	Phase 03 — Renderer performance rules	/Users/rtfa/lab/bilu/.bilu/board/tasks/03-06-renderer-performance.md	design,frontend,performance,planning,usability		board/tasks/03-06-renderer-performance.md
03-07-renderer-tests	DONE	5	MEDIUM	task	Phase 03 — Renderer tests	/Users/rtfa/lab/bilu/.bilu/board/tasks/03-07-renderer-tests.md	design,devops,frontend,planning,testing,usability		board/tasks/03-07-renderer-tests.md
04-01-terminal-setup-and-cleanup	DONE	5	MEDIUM	task	Phase 04 — Terminal setup and cleanup	/Users/rtfa/lab/bilu/.bilu/board/tasks/04-01-terminal-setup-and-cleanup.md	design,frontend,planning,usability		board/tasks/04-01-terminal-setup-and-cleanup.md
04-02-key-input-decoding	DONE	5	MEDIUM	task	Phase 04 — Key input decoding	/Users/rtfa/lab/bilu/.bilu/board/tasks/04-02-key-input-decoding.md	design,frontend,planning,usability		board/tasks/04-02-key-input-decoding.md
04-03-layout-and-selection-model	DONE	5	MEDIUM	task	Phase 04 — Layout and selection model	/Users/rtfa/lab/bilu/.bilu/board/tasks/04-03-layout-and-selection-model.md	design,frontend,planning,usability		board/tasks/04-03-layout-and-selection-model.md
04-04-render-loop-and-frame-buffer	DONE	5	MEDIUM	task	Phase 04 — Render loop and frame buffer	/Users/rtfa/lab/bilu/.bilu/board/tasks/04-04-render-loop-and-frame-buffer.md	design,devops,frontend,planning,usability		board/tasks/04-04-render-loop-and-frame-buffer.md
04-05-search-ui	DONE	5	MEDIUM	task	Phase 04 — Search UI	/Users/rtfa/lab/bilu/.bilu/board/tasks/04-05-search-ui.md	design,frontend,planning,usability		board/tasks/04-05-search-ui.md
04-06-filter-and-sort-ui	DONE	5	MEDIUM	task	Phase 04 — Filter and sort UI	/Users/rtfa/lab/bilu/.bilu/board/tasks/04-06-filter-and-sort-ui.md	design,frontend,planning,usability		board/tasks/04-06-filter-and-sort-ui.md
04-07-open-and-edit-actions	DONE	5	MEDIUM	task	Phase 04 — Open and edit actions	/Users/rtfa/lab/bilu/.bilu/board/tasks/04-07-open-and-edit-actions.md	design,frontend,planning,usability		board/tasks/04-07-open-and-edit-actions.md
04-08-help-overlay-and-status-bar	DONE	5	MEDIUM	task	Phase 04 — Help overlay and status bar	/Users/rtfa/lab/bilu/.bilu/board/tasks/04-08-help-overlay-and-status-bar.md	design,documentation,frontend,planning,usability		board/tasks/04-08-help-overlay-and-status-bar.md
05-01-edit-status-in-markdown	DONE	5	MEDIUM	task	Phase 05 — Edit status in markdown	/Users/rtfa/lab/bilu/.bilu/board/tasks/05-01-edit-status-in-markdown.md	devops,planning		board/tasks/05-01-edit-status-in-markdown.md
05-02-edit-priority-in-markdown	DONE	5	MEDIUM	task	Phase 05 — Edit priority in markdown	/Users/rtfa/lab/bilu/.bilu/board/tasks/05-02-edit-priority-in-markdown.md	design,devops,frontend,planning,usability		board/tasks/05-02-edit-priority-in-markdown.md
05-03-open-task-in-editor	DONE	5	MEDIUM	task	Phase 05 — Open task in editor	/Users/rtfa/lab/bilu/.bilu/board/tasks/05-03-open-task-in-editor.md	design,frontend,planning,usability		board/tasks/05-03-open-task-in-editor.md
05-04-rebuild-index-command	DONE	5	MEDIUM	task	Phase 05 — Rebuild index command	/Users/rtfa/lab/bilu/.bilu/board/tasks/05-04-rebuild-index-command.md	planning		board/tasks/05-04-rebuild-index-command.md
05-05-file-locking-and-concurrency	DONE	5	MEDIUM	task	Phase 05 — File locking and concurrency	/Users/rtfa/lab/bilu/.bilu/board/tasks/05-05-file-locking-and-concurrency.md	devops,planning		board/tasks/05-05-file-locking-and-concurrency.md
05-06-persistence-tests	DONE	5	MEDIUM	task	Phase 05 — Persistence tests	/Users/rtfa/lab/bilu/.bilu/board/tasks/05-06-persistence-tests.md	design,devops,frontend,planning,testing,usability		board/tasks/05-06-persistence-tests.md
06-01-test-matrix	DONE	5	MEDIUM	task	Phase 06 — Test matrix	/Users/rtfa/lab/bilu/.bilu/board/tasks/06-01-test-matrix.md	design,frontend,planning,testing,usability		board/tasks/06-01-test-matrix.md
06-02-cli-parsing-tests	DONE	5	MEDIUM	task	Phase 06 — CLI parsing tests	/Users/rtfa/lab/bilu/.bilu/board/tasks/06-02-cli-parsing-tests.md	documentation,planning,testing		board/tasks/06-02-cli-parsing-tests.md
06-03-normalization-tests	DONE	5	MEDIUM	task	Phase 06 — Normalization tests	/Users/rtfa/lab/bilu/.bilu/board/tasks/06-03-normalization-tests.md	planning,testing		board/tasks/06-03-normalization-tests.md
06-04-renderer-tests	DONE	5	MEDIUM	task	Phase 06 — Renderer tests	/Users/rtfa/lab/bilu/.bilu/board/tasks/06-04-renderer-tests.md	design,frontend,planning,testing,usability		board/tasks/06-04-renderer-tests.md
06-05-docs-sync-checklist	DONE	5	MEDIUM	task	Phase 06 — Docs sync checklist	/Users/rtfa/lab/bilu/.bilu/board/tasks/06-05-docs-sync-checklist.md	design,devops,documentation,frontend,planning,usability		board/tasks/06-05-docs-sync-checklist.md
06-06-manual-tui-test-script	DONE	5	MEDIUM	task	Phase 06 — Manual TUI test script	/Users/rtfa/lab/bilu/.bilu/board/tasks/06-06-manual-tui-test-script.md	design,frontend,planning,testing,usability		board/tasks/06-06-manual-tui-test-script.md
